sub_acq,ev1,ev2,ev3,ev4,ev5,ev6,ev7,ev8,ev9,ev10,ev11,ev12
sub-10017_mb1me1,2,4,2,5,4,1,1,4,2,1,5,5
sub-10017_mb1me4,2,4,2,5,4,1,1,4,2,1,5,5
sub-10017_mb3me1,2,4,2,5,4,1,1,4,2,1,5,5
sub-10017_mb3me4,2,4,2,5,4,1,1,4,2,1,5,5
sub-10017_mb6me1,2,4,2,5,4,1,1,4,2,1,5,5
sub-10017_mb6me4,2,4,2,5,4,1,1,4,2,1,5,5
sub-10024_mb1me1,13,12,18,9,11,4,10,11,5,11,2,2
sub-10024_mb1me4,18,9,12,15,11,5,11,11,5,11,NA,NA
sub-10024_mb3me1,17,10,13,13,11,5,11,10,5,11,1,1
sub-10024_mb3me4,12,15,19,8,11,5,11,11,5,11,NA,NA
sub-10024_mb6me1,10,17,14,13,11,5,11,11,5,11,NA,NA
sub-10024_mb6me4,18,9,16,10,11,5,11,11,5,10,1,1
sub-10035_mb1me1,8,18,4,20,10,5,11,10,5,9,4,4
sub-10035_mb1me4,4,22,10,16,10,5,11,11,5,10,2,2
sub-10035_mb3me1,3,19,11,14,10,4,8,11,4,10,7,7
sub-10035_mb3me4,12,13,11,14,11,3,11,10,4,11,4,4
sub-10035_mb6me1,5,17,6,16,9,4,9,7,5,10,10,10
sub-10035_mb6me4,8,17,10,13,11,5,9,8,5,10,6,6
sub-10041_mb1me1,14,13,7,20,11,5,11,11,5,11,NA,NA
sub-10041_mb1me4,12,15,11,16,11,5,11,11,5,11,NA,NA
sub-10041_mb3me1,13,14,10,17,11,5,11,11,5,11,NA,NA
sub-10041_mb3me4,15,12,11,16,11,5,11,11,5,11,NA,NA
sub-10041_mb6me1,10,17,14,13,11,5,11,11,5,11,NA,NA
sub-10041_mb6me4,15,12,7,20,11,5,11,11,5,11,NA,NA
sub-10043_mb1me1,8,19,12,15,11,5,11,11,5,11,NA,NA
sub-10043_mb1me4,12,15,13,13,11,5,11,10,5,11,1,1
sub-10043_mb3me1,14,13,11,16,11,5,11,11,5,11,NA,NA
sub-10043_mb3me4,11,16,9,17,11,5,11,11,5,10,1,1
sub-10043_mb6me1,9,18,6,20,11,5,11,10,5,11,1,1
sub-10043_mb6me4,9,18,13,14,11,5,11,11,5,11,NA,NA
sub-10054_mb1me1,8,19,10,15,11,5,11,10,5,10,2,2
sub-10054_mb1me4,2,25,19,8,11,5,11,11,5,11,NA,NA
sub-10054_mb3me1,10,17,13,13,11,5,11,10,5,11,1,1
sub-10054_mb3me4,11,13,8,18,9,4,11,11,5,10,4,4
sub-10054_mb6me1,12,15,12,13,11,5,11,10,4,11,2,2
sub-10054_mb6me4,15,9,14,12,10,5,9,10,5,11,4,4
sub-10059_mb1me1,12,15,13,14,11,5,11,11,5,11,NA,NA
sub-10059_mb1me4,15,12,12,15,11,5,11,11,5,11,NA,NA
sub-10059_mb3me1,14,13,11,16,11,5,11,11,5,11,NA,NA
sub-10059_mb3me4,12,15,15,12,11,5,11,11,5,11,NA,NA
sub-10059_mb6me1,11,16,15,12,11,5,11,11,5,11,NA,NA
sub-10059_mb6me4,11,16,14,13,11,5,11,11,5,11,NA,NA
sub-10069_mb1me1,13,13,12,15,10,5,11,11,5,11,1,1
sub-10069_mb1me4,13,14,14,13,11,5,11,11,5,11,NA,NA
sub-10069_mb3me1,11,16,15,12,11,5,11,11,5,11,NA,NA
sub-10069_mb3me4,14,11,12,12,10,4,11,11,5,8,5,5
sub-10069_mb6me1,14,12,13,14,10,5,11,11,5,11,1,1
sub-10069_mb6me4,16,11,14,13,11,5,11,11,5,11,NA,NA
sub-10074_mb1me1,14,13,15,12,11,5,11,11,5,11,NA,NA
sub-10074_mb1me4,9,17,15,10,10,5,11,9,5,11,3,3
sub-10074_mb3me1,19,8,12,15,11,5,11,11,5,11,NA,NA
sub-10074_mb3me4,14,12,16,11,10,5,11,11,5,11,1,1
sub-10074_mb6me1,11,16,17,10,11,5,11,11,5,11,NA,NA
sub-10074_mb6me4,10,17,13,14,11,5,11,11,5,11,NA,NA
sub-10078_mb1me1,22,5,8,19,11,5,11,11,5,11,NA,NA
sub-10078_mb1me4,10,17,9,17,11,5,11,11,5,10,1,1
sub-10078_mb3me1,9,18,6,20,11,5,11,11,5,10,1,1
sub-10078_mb3me4,11,15,10,16,11,5,10,11,5,10,2,2
sub-10078_mb6me1,8,18,12,15,10,5,11,11,5,11,1,1
sub-10078_mb6me4,14,13,10,17,11,5,11,11,5,11,NA,NA
sub-10080_mb1me1,8,16,9,14,9,5,10,9,3,11,7,7
sub-10080_mb1me4,14,13,12,14,11,5,11,11,5,10,1,1
sub-10080_mb3me1,18,8,25,2,10,5,11,11,5,11,1,1
sub-10080_mb3me4,10,15,8,15,10,5,10,9,5,9,6,6
sub-10080_mb6me1,8,19,13,14,11,5,11,11,5,11,NA,NA
sub-10080_mb6me4,11,16,13,10,11,5,11,9,5,9,4,4
sub-10085_mb1me1,13,13,4,15,11,5,10,8,4,7,9,9
sub-10085_mb1me4,13,13,6,20,11,5,10,10,5,11,2,2
sub-10085_mb3me1,9,16,8,17,11,3,11,11,4,10,4,4
sub-10085_mb3me4,7,17,6,20,9,5,10,11,5,10,4,4
sub-10085_mb6me1,13,13,11,15,11,5,10,10,5,11,2,2
sub-10085_mb6me4,10,16,7,16,11,4,11,7,5,11,5,5
sub-10094_mb1me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10094_mb1me4,7,14,10,13,9,4,8,9,5,9,10,10
sub-10094_mb3me1,14,12,10,15,10,5,11,10,5,10,3,3
sub-10094_mb3me4,11,10,13,8,8,3,10,8,3,10,12,12
sub-10094_mb6me1,11,12,10,14,9,4,10,10,4,10,7,7
sub-10094_mb6me4,14,5,5,7,7,3,9,4,2,6,23,23
sub-10108_mb1me1,10,16,18,8,11,5,10,11,5,10,2,2
sub-10108_mb1me4,11,16,14,12,11,5,11,11,5,10,1,1
sub-10108_mb3me1,12,14,10,17,11,5,10,11,5,11,1,1
sub-10108_mb3me4,16,11,16,11,11,5,11,11,5,11,NA,NA
sub-10108_mb6me1,12,14,15,12,11,5,10,11,5,11,1,1
sub-10108_mb6me4,11,16,14,12,11,5,11,11,5,10,1,1
sub-10125_mb1me1,13,14,10,17,11,5,11,11,5,11,NA,NA
sub-10125_mb1me4,16,11,14,13,11,5,11,11,5,11,NA,NA
sub-10125_mb3me1,15,12,12,15,11,5,11,11,5,11,NA,NA
sub-10125_mb3me4,13,14,13,14,11,5,11,11,5,11,NA,NA
sub-10125_mb6me1,15,12,10,17,11,5,11,11,5,11,NA,NA
sub-10125_mb6me4,11,15,14,13,11,5,10,11,5,11,1,1
sub-10130_mb1me1,6,8,8,8,7,2,5,9,2,5,24,24
sub-10130_mb1me4,5,16,9,15,9,3,9,11,4,9,9,9
sub-10130_mb3me1,4,14,5,17,4,4,10,10,3,9,14,14
sub-10130_mb3me4,8,17,8,18,10,5,10,10,5,11,3,3
sub-10130_mb6me1,8,14,3,17,9,5,8,9,3,8,12,12
sub-10130_mb6me4,7,10,5,8,8,2,7,4,3,6,24,24
sub-10136_mb1me1,15,12,10,17,11,5,11,11,5,11,NA,NA
sub-10136_mb1me4,9,18,15,12,11,5,11,11,5,11,NA,NA
sub-10136_mb3me1,16,10,9,18,10,5,11,11,5,11,1,1
sub-10136_mb3me4,10,17,12,15,11,5,11,11,5,11,NA,NA
sub-10136_mb6me1,11,16,14,13,11,5,11,11,5,11,NA,NA
sub-10136_mb6me4,12,15,12,15,11,5,11,11,5,11,NA,NA
sub-10137_mb1me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10137_mb1me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10137_mb3me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10137_mb3me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10137_mb6me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10137_mb6me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10142_mb1me1,9,18,15,12,11,5,11,11,5,11,NA,NA
sub-10142_mb1me4,14,12,12,13,11,5,10,10,4,11,3,3
sub-10142_mb3me1,11,15,16,11,10,5,11,11,5,11,1,1
sub-10142_mb3me4,10,13,12,15,8,5,10,11,5,11,4,4
sub-10142_mb6me1,11,16,19,8,11,5,11,11,5,11,NA,NA
sub-10142_mb6me4,10,17,15,12,11,5,11,11,5,11,NA,NA
sub-10150_mb1me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10150_mb1me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10150_mb3me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10150_mb3me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10150_mb6me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10150_mb6me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10154_mb1me1,16,11,13,14,11,5,11,11,5,11,NA,NA
sub-10154_mb1me4,4,23,4,23,11,5,11,11,5,11,NA,NA
sub-10154_mb3me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10154_mb3me4,11,15,7,20,11,5,10,11,5,11,1,1
sub-10154_mb6me1,9,18,4,23,11,5,11,11,5,11,NA,NA
sub-10154_mb6me4,21,6,26,1,11,5,11,11,5,11,NA,NA
sub-10166_mb1me1,11,16,16,11,11,5,11,11,5,11,NA,NA
sub-10166_mb1me4,13,14,13,14,11,5,11,11,5,11,NA,NA
sub-10166_mb3me1,12,15,15,12,11,5,11,11,5,11,NA,NA
sub-10166_mb3me4,11,16,10,17,11,5,11,11,5,11,NA,NA
sub-10166_mb6me1,16,11,11,16,11,5,11,11,5,11,NA,NA
sub-10166_mb6me4,15,12,11,15,11,5,11,11,5,10,1,1
sub-10185_mb1me1,22,5,16,11,11,5,11,11,5,11,NA,NA
sub-10185_mb1me4,12,15,4,23,11,5,11,11,5,11,NA,NA
sub-10185_mb3me1,1,26,2,25,11,5,11,11,5,11,NA,NA
sub-10185_mb3me4,17,9,5,22,10,5,11,11,5,11,1,1
sub-10185_mb6me1,7,18,6,21,10,4,11,11,5,11,2,2
sub-10185_mb6me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10186_mb1me1,16,11,10,17,11,5,11,11,5,11,NA,NA
sub-10186_mb1me4,16,11,12,15,11,5,11,11,5,11,NA,NA
sub-10186_mb3me1,11,16,10,17,11,5,11,11,5,11,NA,NA
sub-10186_mb3me4,11,16,15,12,11,5,11,11,5,11,NA,NA
sub-10186_mb6me1,14,13,17,10,11,5,11,11,5,11,NA,NA
sub-10186_mb6me4,15,12,15,12,11,5,11,11,5,11,NA,NA
sub-10188_mb1me1,14,13,12,15,11,5,11,11,5,11,NA,NA
sub-10188_mb1me4,14,12,14,13,10,5,11,11,5,11,1,1
sub-10188_mb3me1,13,14,8,19,11,5,11,11,5,11,NA,NA
sub-10188_mb3me4,11,15,11,15,11,5,10,10,5,11,2,2
sub-10188_mb6me1,13,14,13,14,11,5,11,11,5,11,NA,NA
sub-10188_mb6me4,7,19,11,16,11,5,10,11,5,11,1,1
sub-10203_mb1me1,12,15,7,20,11,5,11,11,5,11,NA,NA
sub-10203_mb1me4,12,15,6,20,11,5,11,11,5,10,1,1
sub-10203_mb3me1,10,16,11,16,11,5,10,11,5,11,1,1
sub-10203_mb3me4,11,16,11,16,11,5,11,11,5,11,NA,NA
sub-10203_mb6me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10203_mb6me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10221_mb1me1,17,10,14,13,11,5,11,11,5,11,NA,NA
sub-10221_mb1me4,16,10,12,15,11,4,11,11,5,11,1,1
sub-10221_mb3me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10221_mb3me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10221_mb6me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10221_mb6me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10223_mb1me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10223_mb1me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10223_mb3me1,14,13,7,20,11,5,11,11,5,11,NA,NA
sub-10223_mb3me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10223_mb6me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10223_mb6me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10234_mb1me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10234_mb1me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10234_mb3me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10234_mb3me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10234_mb6me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10234_mb6me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10296_mb1me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10296_mb1me4,9,18,14,11,11,5,11,10,5,10,2,2
sub-10296_mb3me1,9,17,15,12,10,5,11,11,5,11,1,1
sub-10296_mb3me4,11,16,15,12,11,5,11,11,5,11,NA,NA
sub-10296_mb6me1,7,20,13,14,11,5,11,11,5,11,NA,NA
sub-10296_mb6me4,14,13,13,14,11,5,11,11,5,11,NA,NA
sub-10318_mb1me1,13,14,12,15,11,5,11,11,5,11,NA,NA
sub-10318_mb1me4,12,15,14,13,11,5,11,11,5,11,NA,NA
sub-10318_mb3me1,11,15,14,13,11,5,10,11,5,11,1,1
sub-10318_mb3me4,19,8,12,15,11,5,11,11,5,11,NA,NA
sub-10318_mb6me1,15,12,15,12,11,5,11,11,5,11,NA,NA
sub-10318_mb6me4,14,13,13,14,11,5,11,11,5,11,NA,NA
sub-10319_mb1me1,12,14,13,14,11,4,11,11,5,11,1,1
sub-10319_mb1me4,12,15,14,13,11,5,11,11,5,11,NA,NA
sub-10319_mb3me1,11,16,14,13,11,5,11,11,5,11,NA,NA
sub-10319_mb3me4,11,16,16,11,11,5,11,11,5,11,NA,NA
sub-10319_mb6me1,14,12,14,13,10,5,11,11,5,11,1,1
sub-10319_mb6me4,16,11,7,20,11,5,11,11,5,11,NA,NA
sub-10320_mb1me1,16,11,14,13,11,5,11,11,5,11,NA,NA
sub-10320_mb1me4,5,22,14,13,11,5,11,11,5,11,NA,NA
sub-10320_mb3me1,12,15,16,11,11,5,11,11,5,11,NA,NA
sub-10320_mb3me4,14,13,13,14,11,5,11,11,5,11,NA,NA
sub-10320_mb6me1,14,13,14,13,11,5,11,11,5,11,NA,NA
sub-10320_mb6me4,6,21,12,15,11,5,11,11,5,11,NA,NA
sub-10321_mb1me1,7,20,16,11,11,5,11,11,5,11,NA,NA
sub-10321_mb1me4,12,13,9,16,11,4,10,11,4,10,4,4
sub-10321_mb3me1,9,18,13,14,11,5,11,11,5,11,NA,NA
sub-10321_mb3me4,7,20,8,18,11,5,11,11,4,11,1,1
sub-10321_mb6me1,10,13,12,15,10,5,8,11,5,11,4,4
sub-10321_mb6me4,8,19,13,13,11,5,11,11,5,10,1,1
sub-10363_mb1me1,10,17,18,9,11,5,11,11,5,11,NA,NA
sub-10363_mb1me4,11,16,16,11,11,5,11,11,5,11,NA,NA
sub-10363_mb3me1,15,12,16,11,11,5,11,11,5,11,NA,NA
sub-10363_mb3me4,17,10,12,15,11,5,11,11,5,11,NA,NA
sub-10363_mb6me1,9,18,13,14,11,5,11,11,5,11,NA,NA
sub-10363_mb6me4,14,13,17,10,11,5,11,11,5,11,NA,NA
sub-10382_mb1me1,12,12,8,15,8,5,11,9,4,10,7,7
sub-10382_mb1me4,9,15,7,16,11,3,10,9,4,10,7,7
sub-10382_mb3me1,5,17,6,14,9,5,8,9,4,7,12,12
sub-10382_mb3me4,4,19,11,12,10,4,9,11,2,10,8,8
sub-10382_mb6me1,10,13,9,15,10,4,9,10,5,9,7,7
sub-10382_mb6me4,7,15,13,13,8,3,11,10,5,11,6,6
sub-10391_mb1me1,16,11,10,17,11,5,11,11,5,11,NA,NA
sub-10391_mb1me4,16,11,11,16,11,5,11,11,5,11,NA,NA
sub-10391_mb3me1,14,13,12,15,11,5,11,11,5,11,NA,NA
sub-10391_mb3me4,11,16,13,14,11,5,11,11,5,11,NA,NA
sub-10391_mb6me1,13,14,13,14,11,5,11,11,5,11,NA,NA
sub-10391_mb6me4,15,12,14,13,11,5,11,11,5,11,NA,NA
sub-10416_mb1me1,2,25,1,26,11,5,11,11,5,11,NA,NA
sub-10416_mb1me4,5,22,2,25,11,5,11,11,5,11,NA,NA
sub-10416_mb3me1,2,25,5,22,11,5,11,11,5,11,NA,NA
sub-10416_mb3me4,1,25,2,25,11,5,10,11,5,11,1,1
sub-10416_mb6me1,2,25,1,26,11,5,11,11,5,11,NA,NA
sub-10416_mb6me4,2,25,2,25,11,5,11,11,5,11,NA,NA
sub-10422_mb1me1,9,17,14,13,10,5,11,11,5,11,1,1
sub-10422_mb1me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10422_mb3me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10422_mb3me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10422_mb6me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10422_mb6me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10438_mb1me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10438_mb1me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10438_mb3me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10438_mb3me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10438_mb6me1,10,17,11,15,11,5,11,10,5,11,1,1
sub-10438_mb6me4,11,16,15,12,11,5,11,11,5,11,NA,NA
sub-10589sp_mb3me4,11,16,14,13,11,5,11,11,5,11,NA,NA
sub-10589sp_mb2me4,9,18,7,20,11,5,11,11,5,11,NA,NA
sub-10589sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10589sp_mb3me3,14,13,14,13,11,5,11,11,5,11,NA,NA
sub-10589sp_mb3me3ip0,13,13,12,13,10,5,11,11,4,10,3,3
sub-10589sp_mb3me4fa50,8,19,18,9,11,5,11,11,5,11,NA,NA
sub-10590sp_mb3me4,9,18,20,7,11,5,11,11,5,11,NA,NA
sub-10590sp_mb2me4,9,18,20,7,11,5,11,11,5,11,NA,NA
sub-10590sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10590sp_mb3me3,15,12,15,12,11,5,11,11,5,11,NA,NA
sub-10590sp_mb3me3ip0,15,12,15,12,11,5,11,11,5,11,NA,NA
sub-10590sp_mb3me4fa50,9,18,20,7,11,5,11,11,5,11,NA,NA
sub-10603sp_mb3me4,8,19,7,20,11,5,11,11,5,11,NA,NA
sub-10603sp_mb2me4,12,15,7,20,11,5,11,11,5,11,NA,NA
sub-10603sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10603sp_mb3me3,13,14,11,16,11,5,11,11,5,11,NA,NA
sub-10603sp_mb3me3ip0,12,15,6,21,11,5,11,11,5,11,NA,NA
sub-10603sp_mb3me4fa50,11,16,11,16,11,5,11,11,5,11,NA,NA
sub-10606sp_mb3me4,19,8,9,18,11,5,11,11,5,11,NA,NA
sub-10606sp_mb2me4,14,13,10,17,11,5,11,11,5,11,NA,NA
sub-10606sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10606sp_mb3me3,14,13,9,18,11,5,11,11,5,11,NA,NA
sub-10606sp_mb3me3ip0,15,11,17,10,11,5,10,11,5,11,1,1
sub-10606sp_mb3me4fa50,13,14,14,12,11,5,11,10,5,11,1,1
sub-10608sp_mb3me4,13,14,11,16,11,5,11,11,5,11,NA,NA
sub-10608sp_mb2me4,13,14,11,16,11,5,11,11,5,11,NA,NA
sub-10608sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10608sp_mb3me3,10,17,14,13,11,5,11,11,5,11,NA,NA
sub-10608sp_mb3me3ip0,10,17,14,13,11,5,11,11,5,11,NA,NA
sub-10608sp_mb3me4fa50,13,14,11,16,11,5,11,11,5,11,NA,NA
sub-10640sp_mb3me4,14,13,17,10,11,5,11,11,5,11,NA,NA
sub-10640sp_mb2me4,4,23,6,21,11,5,11,11,5,11,NA,NA
sub-10640sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10640sp_mb3me3,12,14,10,16,11,4,11,11,4,11,2,2
sub-10640sp_mb3me3ip0,11,16,13,14,11,5,11,11,5,11,NA,NA
sub-10640sp_mb3me4fa50,14,13,14,13,11,5,11,11,5,11,NA,NA
sub-10644sp_mb3me4,5,22,9,18,11,5,11,11,5,11,NA,NA
sub-10644sp_mb2me4,4,20,1,23,10,5,9,10,5,9,6,6
sub-10644sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10644sp_mb3me3,1,25,2,20,11,4,11,8,4,10,6,6
sub-10644sp_mb3me3ip0,2,23,6,19,9,5,11,10,5,10,4,4
sub-10644sp_mb3me4fa50,2,22,5,22,9,4,11,11,5,11,3,3
sub-10652_mb1me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10652_mb1me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10652_mb3me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10652_mb3me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10652_mb6me1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10652_mb6me4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10690sp_mb3me4,12,15,13,14,11,5,11,11,5,11,1,1
sub-10690sp_mb2me4,10,14,8,18,9,5,10,11,5,10,4,4
sub-10690sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10690sp_mb3me3,8,19,10,16,11,5,11,10,5,11,1,1
sub-10690sp_mb3me3ip0,14,12,8,18,11,5,10,11,4,11,2,2
sub-10690sp_mb3me4fa50,13,13,16,11,11,5,10,11,5,11,1,1
sub-10691sp_mb3me4,17,10,12,15,11,5,11,11,5,11,NA,NA
sub-10691sp_mb2me4,17,10,12,15,11,5,11,11,5,11,NA,NA
sub-10691sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10691sp_mb3me3,13,14,12,15,11,5,11,11,5,11,NA,NA
sub-10691sp_mb3me3ip0,13,14,12,15,11,5,11,11,5,11,NA,NA
sub-10691sp_mb3me4fa50,17,10,12,15,11,5,11,11,5,11,NA,NA
sub-10723sp_mb3me4,7,19,15,12,10,5,11,11,5,11,1,1
sub-10723sp_mb2me4,16,11,11,16,11,5,11,11,5,11,NA,NA
sub-10723sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10723sp_mb3me3,16,11,17,10,11,5,11,11,5,11,NA,NA
sub-10723sp_mb3me3ip0,16,11,10,17,11,5,11,11,5,11,NA,NA
sub-10723sp_mb3me4fa50,15,12,11,16,11,5,11,11,5,11,NA,NA
sub-10741sp_mb3me4,9,18,7,20,11,5,11,11,5,11,NA,NA
sub-10741sp_mb2me4,9,18,7,20,11,5,11,11,5,11,NA,NA
sub-10741sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10741sp_mb3me3,10,17,13,13,11,5,11,10,5,11,1,1
sub-10741sp_mb3me3ip0,10,17,13,13,11,5,11,10,5,11,1,1
sub-10741sp_mb3me4fa50,9,18,7,20,11,5,11,11,5,11,NA,NA
sub-10777sp_mb3me4,9,17,10,15,10,5,11,10,5,10,3,3
sub-10777sp_mb2me4,13,13,8,17,11,4,11,11,4,10,3,3
sub-10777sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10777sp_mb3me3,11,14,8,19,11,3,11,11,5,11,2,2
sub-10777sp_mb3me3ip0,12,14,14,12,10,5,11,11,5,10,2,2
sub-10777sp_mb3me4fa50,7,17,10,16,9,5,10,10,5,11,4,4
sub-10803sp_mb3me4,14,13,14,13,11,5,11,11,5,11,NA,NA
sub-10803sp_mb2me4,14,13,14,13,11,5,11,11,5,11,NA,NA
sub-10803sp_mb3me1fa50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sub-10803sp_mb3me3,17,10,6,21,11,5,11,11,5,11,NA,NA
sub-10803sp_mb3me3ip0,17,10,6,21,11,5,11,11,5,11,NA,NA
sub-10803sp_mb3me4fa50,14,13,14,13,11,5,11,11,5,11,NA,NA
sub-12042_mb1me1,15,12,14,13,11,5,11,11,5,11,NA,NA
sub-12042_mb1me4,11,16,15,12,11,5,11,11,5,11,NA,NA
sub-12042_mb3me1,17,10,19,8,11,5,11,11,5,11,NA,NA
sub-12042_mb3me4,13,14,13,14,11,5,11,11,5,11,NA,NA
sub-12042_mb6me1,12,15,17,10,11,5,11,11,5,11,NA,NA
sub-12042_mb6me4,8,19,17,10,11,5,11,11,5,11,NA,NA
