Sub,acq,fd_mean
sub-10017,mb1me4,0.065808592
sub-10017,mb3me4,0.093967977
sub-10017,mb6me4,0.087371698
sub-10028,mb1me4,0.043817054
sub-10028,mb3me4,0.082697153
sub-10028,mb6me4,0.11718401
sub-10043,mb1me4,0.083442923
sub-10043,mb3me4,0.10676381
sub-10043,mb6me4,0.095948075
sub-10046,mb3me4,0.241285699
sub-10069,mb1me4,0.360220739
sub-10069,mb3me4,0.247617283
sub-10069,mb6me4,0.158541923
sub-10074,mb1me4,0.068147859
sub-10074,mb3me4,0.127592513
sub-10074,mb6me4,0.088739356
sub-10080,mb1me4,0.091183088
sub-10080,mb3me4,0.147028505
sub-10080,mb6me4,0.190428273
sub-10085,mb1me4,0.246418004
sub-10085,mb3me4,0.29260768
sub-10085,mb6me4,0.273411304
sub-10094,mb1me4,0.337234441
sub-10094,mb3me4,0.459042113
sub-10094,mb6me4,0.420263776
sub-10108,mb1me4,0.05104714
sub-10108,mb3me4,0.112593168
sub-10108,mb6me4,0.075597777
sub-10125,mb1me4,0.132854361
sub-10125,mb3me4,0.171131969
sub-10125,mb6me4,0.12683005
sub-10136,mb1me4,0.26936323
sub-10136,mb3me4,0.284278625
sub-10136,mb6me4,0.132346799
sub-10137,mb1me4,0.054455664
sub-10137,mb3me4,0.099818898
sub-10137,mb6me4,0.142975971
sub-10142,mb1me4,0.11582488
sub-10142,mb3me4,0.120684586
sub-10142,mb6me4,0.102876081
sub-10154,mb1me4,0.145687696
sub-10154,mb3me4,0.089085786
sub-10154,mb6me4,0.076721207
sub-10166,mb1me4,0.194100958
sub-10166,mb3me4,0.157507684
sub-10166,mb6me4,0.132411747
sub-10186,mb1me4,0.085017055
sub-10186,mb3me4,0.123732716
sub-10186,mb6me4,0.122820627
sub-10188,mb1me4,0.093956942
sub-10188,mb3me4,0.095230326
sub-10188,mb6me4,0.092981968
sub-10198,mb1me4,0.128798722
sub-10198,mb3me4,0.120767091
sub-10198,mb6me4,0.140776455
sub-10203,mb1me4,0.080692807
sub-10203,mb3me4,0.080678911
sub-10203,mb6me4,0.084472698
sub-10296,mb1me4,0.097409582
sub-10296,mb3me4,0.073264158
sub-10296,mb6me4,0.157447027
sub-10318,mb1me4,0.077678516
sub-10318,mb3me4,0.090939101
sub-10318,mb6me4,0.068220848
sub-10319,mb1me4,0.143641574
sub-10319,mb3me4,0.198644647
sub-10319,mb6me4,0.153242025
sub-10320,mb1me4,0.075753246
sub-10320,mb3me4,0.095792798
sub-10320,mb6me4,0.11494582
sub-10363,mb1me4,0.081870456
sub-10363,mb3me4,0.127542149
sub-10363,mb6me4,0.089595105
sub-10391,mb1me4,0.101544583
sub-10391,mb3me4,0.139717947
sub-10391,mb6me4,0.08897462
sub-10422,mb1me4,0.195914511
sub-10422,mb3me4,0.170609037
sub-10422,mb6me4,0.128077235
sub-10438,mb1me4,0.15251563
sub-10438,mb3me4,0.277854784
sub-10438,mb6me4,0.305943058
sub-10652,mb1me4,0.141059433
sub-10652,mb3me4,0.282350751
sub-10652,mb6me4,0.1986866
sub-10716,mb1me4,0.612468879
sub-10716,mb3me4,0.579043136
sub-10738,mb1me4,0.326083002
sub-12042,mb1me4,0.091052047
sub-12042,mb3me4,0.103584041
sub-12042,mb6me4,0.100239729