File      	Acquisition    	Echo    	EchoTime  

sub-10154 	mb1me4         	1       	0.0138    
sub-10154 	mb3me4         	3       	0.04928   
sub-10154 	mb3me4         	4       	0.06702   
sub-10154 	mb1me4         	3       	0.04928   
sub-10154 	mb3me4         	1       	0.0138    
sub-10154 	mb6me4         	2       	0.0321    
sub-10154 	mb1me4         	4       	0.06702   
sub-10154 	mb6me4         	3       	0.0502    
sub-10154 	mb1me4         	2       	0.03154   
sub-10154 	mb6me4         	4       	0.0683    
sub-10154 	mb6me4         	1       	0.014     
sub-10154 	mb3me4         	2       	0.03154   
sub-10059 	mb6me4         	3       	0.0502    
sub-10059 	mb6me4         	4       	0.0683    
sub-10059 	mb1me4         	2       	0.03154   
sub-10059 	mb6me4         	1       	0.014     
sub-10059 	mb3me4         	2       	0.03154   
sub-10059 	mb1me4         	1       	0.0138    
sub-10059 	mb3me4         	3       	0.04928   
sub-10059 	mb3me4         	4       	0.06702   
sub-10059 	mb1me4         	3       	0.04928   
sub-10059 	mb3me4         	1       	0.0138    
sub-10059 	mb1me4         	4       	0.06702   
sub-10059 	mb6me4         	2       	0.0321    
sub-10024 	mb3me4         	2       	0.03154   
sub-10024 	mb6me4         	1       	0.014     
sub-10024 	mb6me4         	4       	0.0683    
sub-10024 	mb1me4         	2       	0.03154   
sub-10024 	mb6me4         	3       	0.0502    
sub-10024 	mb1me4         	4       	0.06702   
sub-10024 	mb6me4         	2       	0.0321    
sub-10024 	mb3me4         	1       	0.0138    
sub-10024 	mb1me4         	3       	0.04928   
sub-10024 	mb3me4         	4       	0.06702   
sub-10024 	mb3me4         	3       	0.04928   
sub-10024 	mb1me4         	1       	0.0138    
sub-10603sp	mb3me4fa50     	4       	0.06702   
sub-10603sp	mb3me3         	2       	0.03154   
sub-10603sp	mb3me4         	1       	0.0138    
sub-10603sp	mb3me3ip0      	2       	0.04718   
sub-10603sp	mb3me4fa50     	3       	0.04928   
sub-10603sp	mb2me4         	1       	0.0138    
sub-10603sp	mb3me4         	3       	0.04928   
sub-10603sp	mb2me4         	4       	0.06702   
sub-10603sp	mb3me4fa50     	1       	0.0138    
sub-10603sp	mb3me4         	4       	0.06702   
sub-10603sp	mb2me4         	3       	0.04928   
sub-10603sp	mb2me4         	2       	0.03154   
sub-10603sp	mb3me4         	2       	0.03154   
sub-10603sp	mb3me3         	1       	0.0138    
sub-10603sp	mb3me3ip0      	1       	0.0166    
sub-10603sp	mb3me4fa50     	2       	0.03154   
sub-10603sp	mb3me3         	3       	0.04928   
sub-10603sp	mb3me3ip0      	3       	0.07776   
sub-10166 	mb3me4         	4       	0.06702   
sub-10166 	mb1me4         	1       	0.0138    
sub-10166 	mb3me4         	3       	0.04928   
sub-10166 	mb1me4         	4       	0.06702   
sub-10166 	mb6me4         	2       	0.0321    
sub-10166 	mb1me4         	3       	0.04928   
sub-10166 	mb3me4         	1       	0.0138    
sub-10166 	mb6me4         	4       	0.0683    
sub-10166 	mb1me4         	2       	0.03154   
sub-10166 	mb6me4         	3       	0.0502    
sub-10166 	mb3me4         	2       	0.03154   
sub-10166 	mb6me4         	1       	0.014     
sub-10085 	mb3me4         	2       	0.03154   
sub-10085 	mb6me4         	1       	0.014     
sub-10085 	mb6me4         	4       	0.0683    
sub-10085 	mb1me4         	2       	0.03154   
sub-10085 	mb6me4         	3       	0.0502    
sub-10085 	mb1me4         	4       	0.06702   
sub-10085 	mb6me4         	2       	0.0321    
sub-10085 	mb3me4         	1       	0.0138    
sub-10085 	mb1me4         	3       	0.04928   
sub-10085 	mb3me4         	4       	0.06702   
sub-10085 	mb3me4         	3       	0.04928   
sub-10085 	mb1me4         	1       	0.0138    
sub-10188 	mb1me4         	4       	0.06702   
sub-10188 	mb6me4         	2       	0.0321    
sub-10188 	mb3me4         	1       	0.0138    
sub-10188 	mb1me4         	3       	0.04928   
sub-10188 	mb3me4         	4       	0.06702   
sub-10188 	mb3me4         	3       	0.04928   
sub-10188 	mb1me4         	1       	0.0138    
sub-10188 	mb3me4         	2       	0.03154   
sub-10188 	mb6me4         	1       	0.014     
sub-10188 	mb6me4         	4       	0.0683    
sub-10188 	mb1me4         	2       	0.03154   
sub-10188 	mb6me4         	3       	0.0502    
sub-10803sp	mb3me4fa50     	3       	0.04928   
sub-10803sp	mb2me4         	2       	0.03154   
sub-10803sp	mb3me3ip0      	3       	0.07776   
sub-10803sp	mb3me4fa50     	4       	0.06702   
sub-10803sp	mb3me3         	1       	0.0138    
sub-10803sp	mb3me4         	2       	0.03154   
sub-10803sp	mb3me4fa50     	1       	0.0138    
sub-10803sp	mb3me3ip0      	1       	0.0166    
sub-10803sp	mb3me3         	3       	0.04928   
sub-10803sp	mb3me4         	1       	0.0138    
sub-10803sp	mb3me3         	2       	0.03154   
sub-10803sp	mb2me4         	1       	0.0138    
sub-10803sp	mb3me3ip0      	2       	0.04718   
sub-10803sp	mb2me4         	4       	0.06702   
sub-10803sp	mb3me4         	3       	0.04928   
sub-10803sp	mb3me4fa50     	2       	0.03154   
sub-10803sp	mb2me4         	3       	0.04928   
sub-10803sp	mb3me4         	4       	0.06702   
sub-10130 	mb3me4         	1       	0.0138    
sub-10130 	mb1me4         	3       	0.04928   
sub-10130 	mb6me4         	2       	0.0321    
sub-10130 	mb1me4         	4       	0.06702   
sub-10130 	mb3me4         	3       	0.04928   
sub-10130 	mb1me4         	1       	0.0138    
sub-10130 	mb3me4         	4       	0.06702   
sub-10130 	mb6me4         	1       	0.014     
sub-10130 	mb3me4         	2       	0.03154   
sub-10130 	mb6me4         	3       	0.0502    
sub-10130 	mb1me4         	2       	0.03154   
sub-10130 	mb6me4         	4       	0.0683    
sub-10589sp	mb3me4         	3       	0.04928   
sub-10589sp	mb2me4         	4       	0.06702   
sub-10589sp	mb3me4         	4       	0.06702   
sub-10589sp	mb2me4         	3       	0.04928   
sub-10589sp	mb3me3ip0      	1       	0.0166    
sub-10589sp	mb3me3         	2       	0.03154   
sub-10589sp	mb3me4         	1       	0.0138    
sub-10589sp	mb3me3ip0      	3       	0.07776   
sub-10589sp	mb3me4fa50     	2       	0.03154   
sub-10589sp	mb2me4         	1       	0.0138    
sub-10589sp	mb3me3ip0      	2       	0.04718   
sub-10589sp	mb3me4fa50     	3       	0.04928   
sub-10589sp	mb3me4fa50     	4       	0.06702   
sub-10589sp	mb3me3         	3       	0.04928   
sub-10589sp	mb2me4         	2       	0.03154   
sub-10589sp	mb3me4fa50     	1       	0.0138    
sub-10589sp	mb3me4         	2       	0.03154   
sub-10589sp	mb3me3         	1       	0.0138    
sub-10108 	mb1me4         	1       	0.0138    
sub-10108 	mb3me4         	3       	0.04928   
sub-10108 	mb3me4         	4       	0.06702   
sub-10108 	mb1me4         	3       	0.04928   
sub-10108 	mb3me4         	1       	0.0138    
sub-10108 	mb1me4         	4       	0.06702   
sub-10108 	mb6me4         	2       	0.0321    
sub-10108 	mb6me4         	3       	0.0502    
sub-10108 	mb6me4         	4       	0.0683    
sub-10108 	mb1me4         	2       	0.03154   
sub-10108 	mb6me4         	1       	0.014     
sub-10108 	mb3me4         	2       	0.03154   
sub-10078 	mb6me4         	4       	0.0683    
sub-10078 	mb1me4         	2       	0.03154   
sub-10078 	mb6me4         	3       	0.0502    
sub-10078 	mb3me4         	2       	0.03154   
sub-10078 	mb6me4         	1       	0.014     
sub-10078 	mb3me4         	4       	0.06702   
sub-10078 	mb3me4         	3       	0.04928   
sub-10078 	mb1me4         	1       	0.0138    
sub-10078 	mb1me4         	4       	0.06702   
sub-10078 	mb6me4         	2       	0.0321    
sub-10078 	mb3me4         	1       	0.0138    
sub-10078 	mb1me4         	3       	0.04928   
sub-10438 	mb6me4         	1       	0.014     
sub-10438 	mb3me4         	2       	0.03154   
sub-10438 	mb6me4         	3       	0.0502    
sub-10438 	mb6me4         	4       	0.0683    
sub-10438 	mb1me4         	2       	0.03154   
sub-10438 	mb3me4         	1       	0.0138    
sub-10438 	mb1me4         	3       	0.04928   
sub-10438 	mb1me4         	4       	0.06702   
sub-10438 	mb6me4         	2       	0.0321    
sub-10438 	mb3me4         	3       	0.04928   
sub-10438 	mb1me4         	1       	0.0138    
sub-10438 	mb3me4         	4       	0.06702   
sub-10234 	mb6me4         	1       	0.014     
sub-10234 	mb3me4         	2       	0.03154   
sub-10234 	mb6me4         	3       	0.0502    
sub-10234 	mb1me4         	2       	0.03154   
sub-10234 	mb6me4         	4       	0.0683    
sub-10234 	mb3me4         	1       	0.0138    
sub-10234 	mb1me4         	3       	0.04928   
sub-10234 	mb6me4         	2       	0.0321    
sub-10234 	mb1me4         	4       	0.06702   
sub-10234 	mb3me4         	3       	0.04928   
sub-10234 	mb1me4         	1       	0.0138    
sub-10234 	mb3me4         	4       	0.06702   
sub-10608sp	mb3me3ip0      	2       	0.04718   
sub-10608sp	mb3me4fa50     	2       	0.03154   
sub-10608sp	mb3me3         	3       	0.04928   
sub-10608sp	mb2me4         	2       	0.03154   
sub-10608sp	mb3me4         	2       	0.03154   
sub-10608sp	mb3me3         	1       	0.0138    
sub-10608sp	mb3me3ip0      	1       	0.0166    
sub-10608sp	mb3me4fa50     	1       	0.0138    
sub-10608sp	mb3me4         	3       	0.04928   
sub-10608sp	mb2me4         	4       	0.06702   
sub-10608sp	mb3me4         	4       	0.06702   
sub-10608sp	mb2me4         	3       	0.04928   
sub-10608sp	mb3me3ip0      	3       	0.07776   
sub-10608sp	mb3me4fa50     	3       	0.04928   
sub-10608sp	mb3me3         	2       	0.03154   
sub-10608sp	mb3me4         	1       	0.0138    
sub-10608sp	mb2me4         	1       	0.0138    
sub-10608sp	mb3me4fa50     	4       	0.06702   
sub-10137 	mb3me4         	2       	0.03154   
sub-10137 	mb6me4         	1       	0.014     
sub-10137 	mb1me4         	2       	0.03154   
sub-10137 	mb6me4         	4       	0.0683    
sub-10137 	mb6me4         	3       	0.0502    
sub-10137 	mb6me4         	2       	0.0321    
sub-10137 	mb1me4         	4       	0.06702   
sub-10137 	mb3me4         	1       	0.0138    
sub-10137 	mb1me4         	3       	0.04928   
sub-10137 	mb3me4         	4       	0.06702   
sub-10137 	mb3me4         	3       	0.04928   
sub-10137 	mb1me4         	1       	0.0138    
sub-10640sp	mb3me3ip0      	2       	0.04718   
sub-10640sp	mb3me4         	3       	0.04928   
sub-10640sp	mb2me4         	4       	0.06702   
sub-10640sp	mb3me4         	4       	0.06702   
sub-10640sp	mb2me4         	3       	0.04928   
sub-10640sp	mb3me4fa50     	2       	0.03154   
sub-10640sp	mb3me3         	2       	0.03154   
sub-10640sp	mb3me4         	1       	0.0138    
sub-10640sp	mb2me4         	1       	0.0138    
sub-10640sp	mb3me4fa50     	1       	0.0138    
sub-10640sp	mb3me3ip0      	1       	0.0166    
sub-10640sp	mb3me3         	3       	0.04928   
sub-10640sp	mb2me4         	2       	0.03154   
sub-10640sp	mb3me4fa50     	3       	0.04928   
sub-10640sp	mb3me3ip0      	3       	0.07776   
sub-10640sp	mb3me4         	2       	0.03154   
sub-10640sp	mb3me3         	1       	0.0138    
sub-10640sp	mb3me4fa50     	4       	0.06702   
sub-10318 	mb6me4         	1       	0.014     
sub-10318 	mb3me4         	2       	0.03154   
sub-10318 	mb6me4         	3       	0.0502    
sub-10318 	mb1me4         	2       	0.03154   
sub-10318 	mb6me4         	4       	0.0683    
sub-10318 	mb1me4         	3       	0.04928   
sub-10318 	mb3me4         	1       	0.0138    
sub-10318 	mb6me4         	2       	0.0321    
sub-10318 	mb1me4         	4       	0.06702   
sub-10318 	mb1me4         	1       	0.0138    
sub-10318 	mb3me4         	3       	0.04928   
sub-10318 	mb3me4         	4       	0.06702   
sub-10652 	mb1me4         	1       	0.0138    
sub-10652 	mb3me4         	3       	0.04928   
sub-10652 	mb3me4         	4       	0.06702   
sub-10652 	mb1me4         	3       	0.04928   
sub-10652 	mb3me4         	1       	0.0138    
sub-10652 	mb1me4         	4       	0.06702   
sub-10652 	mb6me4         	2       	0.0321    
sub-10652 	mb6me4         	3       	0.0502    
sub-10652 	mb6me4         	4       	0.0683    
sub-10652 	mb1me4         	2       	0.03154   
sub-10652 	mb6me4         	1       	0.014     
sub-10652 	mb3me4         	2       	0.03154   
sub-10185 	mb3me4         	4       	0.06702   
sub-10185 	mb3me4         	3       	0.04928   
sub-10185 	mb1me4         	1       	0.0138    
sub-10185 	mb6me4         	2       	0.0321    
sub-10185 	mb1me4         	4       	0.06702   
sub-10185 	mb3me4         	1       	0.0138    
sub-10185 	mb1me4         	3       	0.04928   
sub-10185 	mb1me4         	2       	0.03154   
sub-10185 	mb6me4         	4       	0.0683    
sub-10185 	mb6me4         	3       	0.0502    
sub-10185 	mb3me4         	2       	0.03154   
sub-10185 	mb6me4         	1       	0.014     
sub-10320 	mb3me4         	4       	0.06702   
sub-10320 	mb3me4         	3       	0.04928   
sub-10320 	mb1me4         	1       	0.0138    
sub-10320 	mb1me4         	4       	0.06702   
sub-10320 	mb6me4         	2       	0.0321    
sub-10320 	mb3me4         	1       	0.0138    
sub-10320 	mb1me4         	3       	0.04928   
sub-10320 	mb6me4         	4       	0.0683    
sub-10320 	mb1me4         	2       	0.03154   
sub-10320 	mb6me4         	3       	0.0502    
sub-10320 	mb3me4         	2       	0.03154   
sub-10320 	mb6me4         	1       	0.014     
sub-10054 	mb3me4         	2       	0.03154   
sub-10054 	mb6me4         	1       	0.014     
sub-10054 	mb1me4         	2       	0.03154   
sub-10054 	mb6me4         	4       	0.0683    
sub-10054 	mb6me4         	3       	0.0502    
sub-10054 	mb6me4         	2       	0.0321    
sub-10054 	mb1me4         	4       	0.06702   
sub-10054 	mb3me4         	1       	0.0138    
sub-10054 	mb1me4         	3       	0.04928   
sub-10054 	mb3me4         	4       	0.06702   
sub-10054 	mb3me4         	3       	0.04928   
sub-10054 	mb1me4         	1       	0.0138    
sub-10223 	mb6me4         	1       	0.014     
sub-10223 	mb3me4         	2       	0.03154   
sub-10223 	mb6me4         	3       	0.0502    
sub-10223 	mb1me4         	2       	0.03154   
sub-10223 	mb6me4         	4       	0.0683    
sub-10223 	mb3me4         	1       	0.0138    
sub-10223 	mb1me4         	3       	0.04928   
sub-10223 	mb6me4         	2       	0.0321    
sub-10223 	mb1me4         	4       	0.06702   
sub-10223 	mb3me4         	3       	0.04928   
sub-10223 	mb1me4         	1       	0.0138    
sub-10223 	mb3me4         	4       	0.06702   
sub-10590sp	mb3me3ip0      	1       	0.0166    
sub-10590sp	mb3me4         	1       	0.0138    
sub-10590sp	mb3me3         	2       	0.03154   
sub-10590sp	mb3me4fa50     	3       	0.04928   
sub-10590sp	mb3me4fa50     	4       	0.06702   
sub-10590sp	mb2me4         	1       	0.0138    
sub-10590sp	mb3me3ip0      	3       	0.07776   
sub-10590sp	mb2me4         	4       	0.06702   
sub-10590sp	mb3me4         	3       	0.04928   
sub-10590sp	mb3me4fa50     	1       	0.0138    
sub-10590sp	mb2me4         	3       	0.04928   
sub-10590sp	mb3me4         	4       	0.06702   
sub-10590sp	mb2me4         	2       	0.03154   
sub-10590sp	mb3me3ip0      	2       	0.04718   
sub-10590sp	mb3me3         	1       	0.0138    
sub-10590sp	mb3me4         	2       	0.03154   
sub-10590sp	mb3me4fa50     	2       	0.03154   
sub-10590sp	mb3me3         	3       	0.04928   
sub-10741sp	mb3me3         	2       	0.03154   
sub-10741sp	mb3me3ip0      	3       	0.07776   
sub-10741sp	mb3me4         	1       	0.0138    
sub-10741sp	mb3me4fa50     	1       	0.0138    
sub-10741sp	mb2me4         	1       	0.0138    
sub-10741sp	mb3me3ip0      	1       	0.0166    
sub-10741sp	mb3me4         	3       	0.04928   
sub-10741sp	mb2me4         	4       	0.06702   
sub-10741sp	mb3me4fa50     	3       	0.04928   
sub-10741sp	mb3me4fa50     	4       	0.06702   
sub-10741sp	mb3me4         	4       	0.06702   
sub-10741sp	mb2me4         	3       	0.04928   
sub-10741sp	mb2me4         	2       	0.03154   
sub-10741sp	mb3me4         	2       	0.03154   
sub-10741sp	mb3me3         	1       	0.0138    
sub-10741sp	mb3me4fa50     	2       	0.03154   
sub-10741sp	mb3me3         	3       	0.04928   
sub-10741sp	mb3me3ip0      	2       	0.04718   
sub-10043 	mb1me4         	3       	0.04928   
sub-10043 	mb3me4         	1       	0.0138    
sub-10043 	mb6me4         	2       	0.0321    
sub-10043 	mb1me4         	4       	0.06702   
sub-10043 	mb1me4         	1       	0.0138    
sub-10043 	mb3me4         	3       	0.04928   
sub-10043 	mb3me4         	4       	0.06702   
sub-10043 	mb6me4         	1       	0.014     
sub-10043 	mb3me4         	2       	0.03154   
sub-10043 	mb6me4         	3       	0.0502    
sub-10043 	mb1me4         	2       	0.03154   
sub-10043 	mb6me4         	4       	0.0683    
sub-10198 	mb6me4         	3       	0.0502    
sub-10198 	mb6me4         	4       	0.0683    
sub-10198 	mb1me4         	2       	0.03154   
sub-10198 	mb6me4         	1       	0.014     
sub-10198 	mb3me4         	2       	0.03154   
sub-10198 	mb1me4         	1       	0.0138    
sub-10198 	mb3me4         	3       	0.04928   
sub-10198 	mb3me4         	4       	0.06702   
sub-10198 	mb1me4         	3       	0.04928   
sub-10198 	mb3me4         	1       	0.0138    
sub-10198 	mb1me4         	4       	0.06702   
sub-10198 	mb6me4         	2       	0.0321    
sub-10723sp	mb3me3ip0      	2       	0.04718   
sub-10723sp	mb3me4fa50     	2       	0.03154   
sub-10723sp	mb3me3         	3       	0.04928   
sub-10723sp	mb2me4         	2       	0.03154   
sub-10723sp	mb3me3         	1       	0.0138    
sub-10723sp	mb3me4         	2       	0.03154   
sub-10723sp	mb2me4         	4       	0.06702   
sub-10723sp	mb3me4         	3       	0.04928   
sub-10723sp	mb3me4fa50     	1       	0.0138    
sub-10723sp	mb3me3ip0      	1       	0.0166    
sub-10723sp	mb2me4         	3       	0.04928   
sub-10723sp	mb3me4         	4       	0.06702   
sub-10723sp	mb3me4         	1       	0.0138    
sub-10723sp	mb3me3         	2       	0.03154   
sub-10723sp	mb3me4fa50     	4       	0.06702   
sub-10723sp	mb3me3ip0      	3       	0.07776   
sub-10723sp	mb3me4fa50     	3       	0.04928   
sub-10723sp	mb2me4         	1       	0.0138    
sub-10296 	mb6me4         	2       	0.0321    
sub-10296 	mb1me4         	4       	0.06702   
sub-10296 	mb1me4         	3       	0.04928   
sub-10296 	mb3me4         	1       	0.0138    
sub-10296 	mb3me4         	4       	0.06702   
sub-10296 	mb1me4         	1       	0.0138    
sub-10296 	mb3me4         	3       	0.04928   
sub-10296 	mb3me4         	2       	0.03154   
sub-10296 	mb6me4         	1       	0.014     
sub-10296 	mb1me4         	2       	0.03154   
sub-10296 	mb6me4         	4       	0.0683    
sub-10296 	mb6me4         	3       	0.0502    
sub-10391 	mb6me4         	2       	0.0321    
