sub-10015/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,acq,val,
0.959011,1.997,18.7472,4.65992
sub-10015/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.952358,2.09069,20.9349,4.96384
sub-10015/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.946439,2.08403,20.9583,4.96783
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.924635,2.03716,18.0449,4.90437
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.919719,2.0513,18.8609,4.96976
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.941895,2.06522,17.9596,4.91941
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.932509,2.06701,18.6371,4.96422
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.960168,2.10353,18.2496,4.96404
sub-10017/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.956759,2.08575,18.672,4.92516
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.928067,2.03881,17.5155,4.89326
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.931137,2.06555,18.6944,4.96557
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.936307,2.07267,17.8664,4.9629
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.942337,2.09176,18.9167,5.00031
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.949907,2.07979,17.7061,4.93093
sub-10024/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.957532,2.1106,18.9445,4.99724
sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.920281,2.04125,17.8012,4.93241
sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.938331,2.06274,17.6495,4.92464
sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.942837,2.09516,18.1718,5.00588
sub-10028/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.964667,2.12013,18.0397,4.99621
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.945505,2.06453,18.4326,4.90504
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.937934,2.05757,19.4732,4.91771
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.958078,2.08313,18.4725,4.91179
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.958669,2.09994,19.8249,4.96285
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.96323,2.10534,18.8787,4.95917
sub-10035/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.96955,2.11051,19.797,4.95194
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.916751,2.04813,17.595,4.96564
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.910358,2.06629,18.6555,5.05181
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.92256,2.04148,17.4693,4.92236
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.929177,2.05621,17.8601,4.94189
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.928807,2.05858,17.87,4.95042
sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.941983,2.08961,18.6358,4.99426
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.930813,2.04587,17.4565,4.90307
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.91534,2.02939,18.0626,4.91847
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.941696,2.06683,17.6282,4.92371
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.943481,2.08143,18.4335,4.96317
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.955964,2.08364,17.6527,4.91912
sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.955982,2.09145,18.3598,4.94429
sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.902506,2.03059,14.3211,4.94465
sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.908501,2.01001,16.4441,4.87886
sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.924017,2.04964,18.0742,4.9438
sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.92521,2.04416,18.8416,4.92637
sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.928886,2.06289,18.4984,4.96577
sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.937928,2.07578,18.9492,4.97005
sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.949506,2.06249,17.9908,4.88218
sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.931835,2.05492,19.0817,4.93274
sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.956706,2.08781,18.458,4.93093
sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.952671,2.09153,18.9379,4.95899
sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.971672,2.09918,18.139,4.90717
sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.968089,2.11596,19.4752,4.97342
sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.869006,1.96177,11.5825,4.83131
sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.842771,1.96766,12.0089,4.95035
sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.88041,1.98113,13.1292,4.86953
sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.895984,1.99978,18.3189,4.9113
sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.888947,2.03411,10.3712,4.948
sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.916868,2.05067,18.6333,4.97831
sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.87751,2.00616,11.1149,4.91956
sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.892198,2.024,13.497,4.95483
sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.916745,2.05109,13.2266,4.94253
sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.914513,2.05099,16.2833,4.97483
sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.929185,2.0635,13.9396,4.94064
sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.936846,2.06965,19.2507,4.95718
sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.895419,2.02038,12.887,4.9252
sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.908802,2.05798,17.6458,5.02717
sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.921036,2.03572,17.4612,4.91132
sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.917817,2.04703,18.415,4.96253
sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.927296,2.06645,17.357,4.97725
sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.938862,2.07574,18.6396,4.9651
sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.927003,2.03375,17.2015,4.88099
sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.939157,2.04891,18.1375,4.88256
sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.950584,2.07038,17.5581,4.89996
sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.938017,2.06838,18.4389,4.94573
sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.9633,2.10145,17.9457,4.94513
sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.963321,2.10958,18.9144,4.9716
sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.891066,1.98316,14.831,4.85497
sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.918218,2.06723,19.1915,5.0251
sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.908034,1.996,17.526,4.84691
sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.932958,2.06898,18.9305,4.96948
sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.930757,2.05725,17.2355,4.93584
sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.948429,2.09587,19.3292,4.98982
sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.892105,2.0484,8.97314,4.94922
sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.922032,2.03549,18.0211,4.90961
sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.930755,2.05662,15.1168,4.92249
sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.932986,2.05613,19.2734,4.93247
sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.954324,2.07323,18.6003,4.89721
sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.954241,2.08955,19.477,4.94836
sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.945193,2.05967,17.5505,4.88885
sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.946512,2.08066,18.8301,4.95031
sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.953185,2.08795,17.9449,4.94341
sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.960757,2.11197,18.9616,4.98885
sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.970465,2.10783,17.8554,4.93695
sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.977635,2.13096,18.7555,4.98074
sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.925899,2.05074,16.7823,4.93307
sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.919189,2.04138,17.7774,4.93699
sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.930941,2.04309,16.7758,4.89116
sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.9348,2.08077,18.3029,4.99487
sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.935076,2.06941,17.2953,4.95549
sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.950647,2.08977,18.1258,4.95919
sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.837245,1.96755,11.3078,4.95415
sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.869047,2.01261,14.0189,5.0156
sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.887341,2.00636,14.6841,4.93487
sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.901813,2.03815,18.7887,5.00358
sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.912969,2.03673,15.0069,4.92944
sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.910225,2.03715,18.5325,4.96456
sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.932733,2.04637,17.2538,4.8962
sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.92011,2.03813,18.4889,4.92735
sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.936427,2.05471,17.5721,4.90793
sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.924458,2.06076,19.1441,4.98004
sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.95076,2.07554,17.5805,4.91463
sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.962954,2.11486,18.4225,4.98778
sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.93011,2.03859,17.9203,4.88653
sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.92869,2.04359,18.9717,4.91134
sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.944059,2.06788,18.1711,4.91967
sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.935661,2.07822,19.4774,4.98837
sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
