subject,headcoil,mb,me,smoothness
10015,64,mb3,me1,4.65992
10015,64,mb6,me1,4.96384
10017,64,mb1,me1,4.96783
10017,64,mb1,me4,4.90437
10017,64,mb3,me1,4.96976
10017,64,mb3,me4,4.91941
10017,64,mb6,me1,4.96422
10017,64,mb6,me4,4.96404
10024,64,mb1,me1,4.92516
10024,64,mb1,me4,4.89326
10024,64,mb3,me1,4.96557
10024,64,mb3,me4,4.9629
10024,64,mb6,me1,5.00031
10024,64,mb6,me4,4.93093
10028,64,mb1,me1,4.99724
10028,64,mb1,me4,4.93241
10028,64,mb3,me4,4.92464
10028,64,mb6,me4,5.00588
10035,64,mb1,me1,4.99621
10035,64,mb1,me4,4.90504
10035,64,mb3,me1,4.91771
10035,64,mb3,me4,4.91179
10035,64,mb6,me1,4.96285
10035,64,mb6,me4,4.95917
10041,64,mb1,me1,4.95194
10041,64,mb1,me4,4.96564
10041,64,mb3,me1,5.05181
10041,64,mb3,me4,4.92236
10041,64,mb6,me1,4.94189
10041,64,mb6,me4,4.95042
10043,64,mb1,me1,4.99426
10043,64,mb1,me4,4.90307
10043,64,mb3,me1,4.91847
10043,64,mb3,me4,4.92371
10043,64,mb6,me1,4.96317
10043,64,mb6,me4,4.91912
10054,64,mb1,me1,4.94429
10054,64,mb1,me4,4.94465
10054,64,mb3,me1,4.87886
10054,64,mb3,me4,4.9438
10054,64,mb6,me1,4.92637
10054,64,mb6,me4,4.96577
10059,64,mb1,me1,4.97005
10059,64,mb1,me4,4.88218
10059,64,mb3,me1,4.93274
10059,64,mb3,me4,4.93093
10059,64,mb6,me1,4.95899
10059,64,mb6,me4,4.90717
10069,64,mb1,me1,4.97342
10069,64,mb1,me4,4.83131
10069,64,mb3,me1,4.95035
10069,64,mb3,me4,4.86953
10069,64,mb6,me1,4.9113
10069,64,mb6,me4,4.948
10074,64,mb1,me1,4.97831
10074,64,mb1,me4,4.91956
10074,64,mb3,me1,4.95483
10074,64,mb3,me4,4.94253
10074,64,mb6,me1,4.97483
10074,64,mb6,me4,4.94064
10078,64,mb1,me1,4.95718
10078,64,mb1,me4,4.9252
10078,64,mb3,me1,5.02717
10078,64,mb3,me4,4.91132
10078,64,mb6,me1,4.96253
10078,64,mb6,me4,4.97725
10080,64,mb1,me1,4.9651
10080,64,mb1,me4,4.88099
10080,64,mb3,me1,4.88256
10080,64,mb3,me4,4.89996
10080,64,mb6,me1,4.94573
10080,64,mb6,me4,4.94513
10085,64,mb1,me1,4.9716
10085,64,mb1,me4,4.85497
10085,64,mb3,me1,5.0251
10085,64,mb3,me4,4.84691
10085,64,mb6,me1,4.96948
10085,64,mb6,me4,4.93584
10094,64,mb1,me1,4.98982
10094,64,mb1,me4,4.94922
10094,64,mb3,me1,4.90961
10094,64,mb3,me4,4.92249
10094,64,mb6,me1,4.93247
10094,64,mb6,me4,4.89721
10108,64,mb1,me1,4.94836
10108,64,mb1,me4,4.88885
10108,64,mb3,me1,4.95031
10108,64,mb3,me4,4.94341
10108,64,mb6,me1,4.98885
10108,64,mb6,me4,4.93695
10125,64,mb1,me1,4.98074
10125,64,mb1,me4,4.93307
10125,64,mb3,me1,4.93699
10125,64,mb3,me4,4.89116
10125,64,mb6,me1,4.99487
10125,64,mb6,me4,4.95549
10130,64,mb1,me1,4.95919
10130,64,mb1,me4,4.95415
10130,64,mb3,me1,5.0156
10130,64,mb3,me4,4.93487
10130,64,mb6,me1,5.00358
10130,64,mb6,me4,4.92944
10136,64,mb1,me1,4.96456
10136,64,mb1,me4,4.8962
10136,64,mb3,me1,4.92735
10136,64,mb3,me4,4.90793
10136,64,mb6,me1,4.98004
10136,64,mb6,me4,4.91463
10137,64,mb1,me1,4.98778
10137,64,mb1,me4,4.88653
10137,64,mb3,me1,4.91134
10137,64,mb3,me4,4.91967
10137,64,mb6,me1,4.98837
10137,64,mb6,me4,4.92388
10142,64,mb1,me1,4.91914
10142,64,mb1,me4,4.9024
10142,64,mb3,me1,4.87764
10142,64,mb3,me4,4.96973
10142,64,mb6,me1,4.97388
10142,64,mb6,me4,4.91565
10150,64,mb1,me1,4.96731
10150,64,mb1,me4,4.91081
10150,64,mb3,me1,4.99689
10150,64,mb3,me4,4.92159
10150,64,mb6,me1,4.96863
10150,64,mb6,me4,4.93032
10154,64,mb1,me1,5.01457
10154,64,mb1,me4,4.86593
10154,64,mb3,me1,4.932
10154,64,mb3,me4,4.9663
10154,64,mb6,me1,4.97733
10154,64,mb6,me4,4.94464
10166,20,mb1,me1,4.93871
10166,20,mb1,me4,4.918
10166,20,mb3,me1,4.97524
10166,20,mb3,me4,4.90141
10166,20,mb6,me1,4.95857
10166,20,mb6,me4,4.91837
10185,20,mb1,me1,4.98612
10185,20,mb1,me4,4.94062
10185,20,mb3,me1,4.96348
10185,20,mb3,me4,4.91169
10185,20,mb6,me1,4.94095
10185,20,mb6,me4,4.97044
10186,64,mb1,me1,4.98392
10186,64,mb1,me4,4.88911
10186,64,mb3,me1,4.95608
10186,64,mb3,me4,4.86498
10186,64,mb6,me1,4.96858
10186,64,mb6,me4,4.88785
10188,64,mb1,me1,4.93708
10188,64,mb1,me4,4.90817
10188,64,mb3,me1,4.91771
10188,64,mb3,me4,4.89625
10188,64,mb6,me1,4.97063
10188,64,mb6,me4,4.93208
10198,20,mb1,me4,4.96853
10198,20,mb3,me1,4.95448
10198,20,mb3,me4,4.93222
10198,20,mb6,me1,4.92699
10198,20,mb6,me4,4.95059
10203,20,mb1,me1,5.00286
10203,20,mb1,me4,4.92363
10203,20,mb3,me1,4.88787
10203,20,mb3,me4,4.91646
10203,20,mb6,me1,4.95048
10203,20,mb6,me4,4.95172
10221,64,mb1,me1,4.99943
10221,64,mb1,me4,4.99917
10221,64,mb3,me1,4.93292
10221,64,mb3,me4,4.94475
10221,64,mb6,me1,5.00436
10221,64,mb6,me4,4.9276
10223,20,mb1,me1,4.9035
10223,20,mb1,me4,4.89497
10223,20,mb3,me1,4.87353
10223,20,mb3,me4,4.9412
10223,20,mb6,me1,4.9477
10223,20,mb6,me4,4.94614
10234,20,mb1,me1,5.01971
10234,20,mb1,me4,4.88131
10234,20,mb3,me1,4.90749
10234,20,mb3,me4,4.91964
10234,20,mb6,me1,4.9318
10234,20,mb6,me4,4.93673
10296,20,mb1,me1,4.96733
10296,20,mb1,me4,4.9275
10296,20,mb3,me1,4.95656
10296,20,mb3,me4,4.95472
10296,20,mb6,me1,4.98727
10296,20,mb6,me4,4.89752
10303,20,mb1,me1,4.96263
10303,20,mb1,me4,4.8849
10303,20,mb3,me1,4.94936
10303,20,mb6,me1,4.92069
10303,20,mb6,me4,4.95604
10318,20,mb1,me1,4.97946
10318,20,mb1,me4,4.88684
10318,20,mb3,me1,4.91423
10318,20,mb3,me4,4.92445
10318,20,mb6,me1,4.92646
10318,20,mb6,me4,4.91841
10319,20,mb1,me1,5.00198
10319,20,mb1,me4,4.91529
10319,20,mb3,me1,4.96599
10319,20,mb3,me4,4.94257
10319,20,mb6,me1,4.92957
10319,20,mb6,me4,4.94945
10320,20,mb1,me1,5.00309
10320,20,mb1,me4,4.91413
10320,20,mb3,me1,4.91431
10320,20,mb3,me4,4.92127
10320,20,mb6,me1,4.93151
10320,20,mb6,me4,4.93619
10321,20,mb1,me1,5.00424
10321,20,mb1,me4,4.90502
10321,20,mb3,me1,4.93311
10321,20,mb3,me4,4.91794
10321,20,mb6,me1,4.94804
10321,20,mb6,me4,4.93414
10363,20,mb1,me1,4.99788
10363,20,mb1,me4,4.86097
10363,20,mb3,me1,4.95112
10363,20,mb3,me4,4.95554
10363,20,mb6,me1,4.95626
10363,20,mb6,me4,4.92119
10382,20,mb1,me1,4.98956
10382,20,mb1,me4,4.90176
10382,20,mb3,me1,4.92709
10382,20,mb3,me4,4.94701
10382,20,mb6,me1,4.9391
10382,20,mb6,me4,4.94101
10391,20,mb1,me1,4.97093
10391,20,mb1,me4,4.89793
10391,20,mb3,me1,4.93141
10391,20,mb3,me4,4.92304
10391,20,mb6,me1,4.94845
10391,20,mb6,me4,4.94381
10416,20,mb1,me1,4.96377
10416,20,mb1,me4,4.87856
10416,20,mb3,me1,4.90487
10416,20,mb3,me4,4.88839
10416,20,mb6,me1,4.9116
10416,20,mb6,me4,4.92622
10422,20,mb1,me1,4.94829
10422,20,mb1,me4,4.95989
10422,20,mb3,me1,4.97621
10422,20,mb3,me4,4.92919
10422,20,mb6,me1,4.94012
10422,20,mb6,me4,4.97367
10438,20,mb1,me1,5.06588
10438,20,mb1,me4,4.87026
10438,20,mb3,me1,4.9296
10438,20,mb3,me4,4.8969
10438,20,mb6,me1,4.94121
10438,20,mb6,me4,4.92551
10589,20,mb3,me1,4.92484
10589,20,mb3,me4,4.93257
10589,20,mb3,me4,4.98608
10590,20,mb3,me1,4.99734
10590,20,mb3,me4,4.959
10590,20,mb3,me4,4.97427
10603,20,mb3,me1,4.93141
10603,20,mb3,me4,4.95204
10603,20,mb3,me4,4.92539
10606,20,mb3,me1,4.94106
10606,20,mb3,me4,4.9825
10606,20,mb3,me4,4.94657
10608,20,mb3,me1,4.98464
10608,20,mb3,me4,5.03586
10608,20,mb3,me4,5.02379
10640,20,mb3,me1,4.97587
10640,20,mb3,me4,4.93095
10640,20,mb3,me4,4.98965
10644,20,mb3,me1,5.09954
10644,20,mb3,me4,4.99244
10644,20,mb3,me4,4.98564
10652,20,mb1,me1,4.89642
10652,20,mb3,me1,4.86521
10652,20,mb6,me1,4.94349
10659,20,mb3,me1,4.90599
10659,20,mb3,me4,4.95548
10690,20,mb3,me1,4.97975
10690,20,mb3,me4,4.97212
10690,20,mb3,me4,4.97442
10691,20,mb3,me1,4.99759
10691,20,mb3,me4,5.04473
10691,20,mb3,me4,4.96273
10716,20,mb1,me1,5.00317
10716,20,mb3,me1,4.92159
10716,20,mb6,me1,4.9353
10723,20,mb3,me1,5.06917
10723,20,mb3,me4,4.98177
10723,20,mb3,me4,5.00096
10738,20,mb3,me1,4.96073
10738,20,mb6,me1,4.90002
10741,20,mb3,me1,5.07484
10741,20,mb3,me4,4.99638
10741,20,mb3,me4,4.97635
10777,20,mb3,me1,5.01606
10777,20,mb3,me4,4.98087
10777,20,mb3,me4,4.9314
10803,20,mb3,me1,5.00025
10803,20,mb3,me4,4.98384
10803,20,mb3,me4,4.98153
12042,20,mb1,me1,4.91539
12042,20,mb1,me4,4.88502
12042,20,mb3,me1,4.95723
12042,20,mb3,me4,4.88514
12042,20,mb6,me1,4.95475
12042,20,mb6,me4,4.9203
