dataset_source	acquisition_label	task	participant_count	bold_file_count	nominal_echo_count	observed_echo_count	echo_times_s	repetition_time_s	multiband_acceleration_factor	in_plane_acceleration	flip_angle_deg	scanning_sequence	pulse_sequence_details	phase_encoding_direction	image_orientation	inferred_slice_order	slice_timing_summary	number_of_slices	nifti_matrix_dimensions	nifti_voxel_dimensions_mm	base_resolution	acquisition_matrix_pe	recon_matrix_pe	slice_thickness_mm	spacing_between_slices_mm	partial_fourier	receive_coil_name	sbref_count	source_files	exceptions_and_notes
openneuro	T1w		10	0		1	0.00217	2.4		2	8	GR\IR	%SiemensSeq%\tfl		Sag						224	224	224	1		1	HeadNeck_64	0	sub-10006/anat/sub-10006_T1w.json; sub-10006/anat/sub-10006_T1w.nii.gz; sub-10015/anat/sub-10015_T1w.json; sub-10015/anat/sub-10015_T1w.nii.gz; sub-10017/anat/sub-10017_T1w.json; sub-10017/anat/sub-10017_T1w.nii.gz; sub-10024/anat/sub-10024_T1w.json; sub-10024/anat/sub-10024_T1w.nii.gz; sub-10028/anat/sub-10028_T1w.json; sub-10028/anat/sub-10028_T1w.nii.gz; sub-10035/anat/sub-10035_T1w.json; sub-10035/anat/sub-10035_T1w.nii.gz; sub-10041/anat/sub-10041_T1w.json; sub-10041/anat/sub-10041_T1w.nii.gz; sub-10043/anat/sub-10043_T1w.json; sub-10043/anat/sub-10043_T1w.nii.gz; sub-10046/anat/sub-10046_T1w.json; sub-10046/anat/sub-10046_T1w.nii.gz; sub-10054/anat/sub-10054_T1w.json; sub-10054/anat/sub-10054_T1w.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-1		1	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			86	62	86	2.7	2.97	1	HeadNeck_64	0	sub-10015/fmap/sub-10015_acq-bold_run-1_magnitude1.json; sub-10015/fmap/sub-10015_acq-bold_run-1_magnitude1.nii.gz; sub-10015/fmap/sub-10015_acq-bold_run-1_magnitude2.json; sub-10015/fmap/sub-10015_acq-bold_run-1_magnitude2.nii.gz; sub-10015/fmap/sub-10015_acq-bold_run-1_phasediff.json; sub-10015/fmap/sub-10015_acq-bold_run-1_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-1		1	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(-0.4)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10046/fmap/sub-10046_acq-bold_run-1_magnitude1.json; sub-10046/fmap/sub-10046_acq-bold_run-1_magnitude1.nii.gz; sub-10046/fmap/sub-10046_acq-bold_run-1_magnitude2.json; sub-10046/fmap/sub-10046_acq-bold_run-1_magnitude2.nii.gz; sub-10046/fmap/sub-10046_acq-bold_run-1_phasediff.json; sub-10046/fmap/sub-10046_acq-bold_run-1_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-1		1	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(-2.8)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10035/fmap/sub-10035_acq-bold_run-1_magnitude1.json; sub-10035/fmap/sub-10035_acq-bold_run-1_magnitude1.nii.gz; sub-10035/fmap/sub-10035_acq-bold_run-1_magnitude2.json; sub-10035/fmap/sub-10035_acq-bold_run-1_magnitude2.nii.gz; sub-10035/fmap/sub-10035_acq-bold_run-1_phasediff.json; sub-10035/fmap/sub-10035_acq-bold_run-1_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-1		1	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(-3.6)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10017/fmap/sub-10017_acq-bold_run-1_magnitude1.json; sub-10017/fmap/sub-10017_acq-bold_run-1_magnitude1.nii.gz; sub-10017/fmap/sub-10017_acq-bold_run-1_magnitude2.json; sub-10017/fmap/sub-10017_acq-bold_run-1_magnitude2.nii.gz; sub-10017/fmap/sub-10017_acq-bold_run-1_phasediff.json; sub-10017/fmap/sub-10017_acq-bold_run-1_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-1		1	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(-5.5)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10043/fmap/sub-10043_acq-bold_run-1_magnitude1.json; sub-10043/fmap/sub-10043_acq-bold_run-1_magnitude1.nii.gz; sub-10043/fmap/sub-10043_acq-bold_run-1_magnitude2.json; sub-10043/fmap/sub-10043_acq-bold_run-1_magnitude2.nii.gz; sub-10043/fmap/sub-10043_acq-bold_run-1_phasediff.json; sub-10043/fmap/sub-10043_acq-bold_run-1_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-1		2	0		2	0.00492; 0.00738	0.645	2		60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic; n=54; range=0..0.64062 s; unique=42; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10024/fmap/sub-10024_acq-bold_run-1_magnitude1.json; sub-10024/fmap/sub-10024_acq-bold_run-1_magnitude1.nii.gz; sub-10024/fmap/sub-10024_acq-bold_run-1_magnitude2.json; sub-10024/fmap/sub-10024_acq-bold_run-1_magnitude2.nii.gz; sub-10024/fmap/sub-10024_acq-bold_run-1_phasediff.json; sub-10024/fmap/sub-10024_acq-bold_run-1_phasediff.nii.gz; sub-10054/fmap/sub-10054_acq-bold_run-1_magnitude1.json; sub-10054/fmap/sub-10054_acq-bold_run-1_magnitude1.nii.gz; sub-10054/fmap/sub-10054_acq-bold_run-1_magnitude2.json; sub-10054/fmap/sub-10054_acq-bold_run-1_magnitude2.nii.gz; sub-10054/fmap/sub-10054_acq-bold_run-1_phasediff.json; sub-10054/fmap/sub-10054_acq-bold_run-1_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-1		1	0		2	0.00492; 0.00738	0.645	2		60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(-2.1)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic; n=54; range=0..0.64062 s; unique=42; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			86	62	86	2.7	2.97	1	HeadNeck_64	0	sub-10006/fmap/sub-10006_acq-bold_run-1_magnitude1.json; sub-10006/fmap/sub-10006_acq-bold_run-1_magnitude1.nii.gz; sub-10006/fmap/sub-10006_acq-bold_run-1_magnitude2.json; sub-10006/fmap/sub-10006_acq-bold_run-1_magnitude2.nii.gz; sub-10006/fmap/sub-10006_acq-bold_run-1_phasediff.json; sub-10006/fmap/sub-10006_acq-bold_run-1_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-1		1	0		2	0.00492; 0.00738	0.645	2		60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(-3.6)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic; n=54; range=0..0.64062 s; unique=42; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10041/fmap/sub-10041_acq-bold_run-1_magnitude1.json; sub-10041/fmap/sub-10041_acq-bold_run-1_magnitude1.nii.gz; sub-10041/fmap/sub-10041_acq-bold_run-1_magnitude2.json; sub-10041/fmap/sub-10041_acq-bold_run-1_magnitude2.nii.gz; sub-10041/fmap/sub-10041_acq-bold_run-1_phasediff.json; sub-10041/fmap/sub-10041_acq-bold_run-1_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-1		1	0		2	0.00492; 0.00738	0.645	2		60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(1.8)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic; n=54; range=0..0.64062 s; unique=42; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10028/fmap/sub-10028_acq-bold_run-1_magnitude1.json; sub-10028/fmap/sub-10028_acq-bold_run-1_magnitude1.nii.gz; sub-10028/fmap/sub-10028_acq-bold_run-1_magnitude2.json; sub-10028/fmap/sub-10028_acq-bold_run-1_magnitude2.nii.gz; sub-10028/fmap/sub-10028_acq-bold_run-1_phasediff.json; sub-10028/fmap/sub-10028_acq-bold_run-1_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-2		1	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			86	62	86	2.7	2.97	1	HeadNeck_64	0	sub-10015/fmap/sub-10015_acq-bold_run-2_magnitude1.json; sub-10015/fmap/sub-10015_acq-bold_run-2_magnitude1.nii.gz; sub-10015/fmap/sub-10015_acq-bold_run-2_magnitude2.json; sub-10015/fmap/sub-10015_acq-bold_run-2_magnitude2.nii.gz; sub-10015/fmap/sub-10015_acq-bold_run-2_phasediff.json; sub-10015/fmap/sub-10015_acq-bold_run-2_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-2		1	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(-2.8)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10035/fmap/sub-10035_acq-bold_run-2_magnitude1.json; sub-10035/fmap/sub-10035_acq-bold_run-2_magnitude1.nii.gz; sub-10035/fmap/sub-10035_acq-bold_run-2_magnitude2.json; sub-10035/fmap/sub-10035_acq-bold_run-2_magnitude2.nii.gz; sub-10035/fmap/sub-10035_acq-bold_run-2_phasediff.json; sub-10035/fmap/sub-10035_acq-bold_run-2_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-2		1	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(-3.6)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10017/fmap/sub-10017_acq-bold_run-2_magnitude1.json; sub-10017/fmap/sub-10017_acq-bold_run-2_magnitude1.nii.gz; sub-10017/fmap/sub-10017_acq-bold_run-2_magnitude2.json; sub-10017/fmap/sub-10017_acq-bold_run-2_magnitude2.nii.gz; sub-10017/fmap/sub-10017_acq-bold_run-2_phasediff.json; sub-10017/fmap/sub-10017_acq-bold_run-2_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-2		1	0		2	0.00492; 0.00738	0.645			60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(-5.5)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.63281 s; unique=54; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10043/fmap/sub-10043_acq-bold_run-2_magnitude1.json; sub-10043/fmap/sub-10043_acq-bold_run-2_magnitude1.nii.gz; sub-10043/fmap/sub-10043_acq-bold_run-2_magnitude2.json; sub-10043/fmap/sub-10043_acq-bold_run-2_magnitude2.nii.gz; sub-10043/fmap/sub-10043_acq-bold_run-2_phasediff.json; sub-10043/fmap/sub-10043_acq-bold_run-2_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-2		2	0		2	0.00492; 0.00738	0.645	2		60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic; n=54; range=0..0.64062 s; unique=42; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10024/fmap/sub-10024_acq-bold_run-2_magnitude1.json; sub-10024/fmap/sub-10024_acq-bold_run-2_magnitude1.nii.gz; sub-10024/fmap/sub-10024_acq-bold_run-2_magnitude2.json; sub-10024/fmap/sub-10024_acq-bold_run-2_magnitude2.nii.gz; sub-10024/fmap/sub-10024_acq-bold_run-2_phasediff.json; sub-10024/fmap/sub-10024_acq-bold_run-2_phasediff.nii.gz; sub-10054/fmap/sub-10054_acq-bold_run-2_magnitude1.json; sub-10054/fmap/sub-10054_acq-bold_run-2_magnitude1.nii.gz; sub-10054/fmap/sub-10054_acq-bold_run-2_magnitude2.json; sub-10054/fmap/sub-10054_acq-bold_run-2_magnitude2.nii.gz; sub-10054/fmap/sub-10054_acq-bold_run-2_phasediff.json; sub-10054/fmap/sub-10054_acq-bold_run-2_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-2		1	0		2	0.00492; 0.00738	0.645	2		60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(-3.6)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic; n=54; range=0..0.64062 s; unique=42; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10041/fmap/sub-10041_acq-bold_run-2_magnitude1.json; sub-10041/fmap/sub-10041_acq-bold_run-2_magnitude1.nii.gz; sub-10041/fmap/sub-10041_acq-bold_run-2_magnitude2.json; sub-10041/fmap/sub-10041_acq-bold_run-2_magnitude2.nii.gz; sub-10041/fmap/sub-10041_acq-bold_run-2_phasediff.json; sub-10041/fmap/sub-10041_acq-bold_run-2_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-2		1	0		2	0.00492; 0.00738	0.645	2		60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra>Cor(1.8)	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic; n=54; range=0..0.64062 s; unique=42; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10028/fmap/sub-10028_acq-bold_run-2_magnitude1.json; sub-10028/fmap/sub-10028_acq-bold_run-2_magnitude1.nii.gz; sub-10028/fmap/sub-10028_acq-bold_run-2_magnitude2.json; sub-10028/fmap/sub-10028_acq-bold_run-2_magnitude2.nii.gz; sub-10028/fmap/sub-10028_acq-bold_run-2_phasediff.json; sub-10028/fmap/sub-10028_acq-bold_run-2_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	fmap-bold-run-3		1	0		2	0.00492; 0.00738	0.645	2		60	GR	%SiemensSeq%\gre_field_mapping	j-	Tra	interleaved or non-monotonic slice-index timing; physical direction not verified from a NIfTI affine	n=54; range=0..0.625 s; unique=41; interleaved or non-monotonic; n=54; range=0..0.64062 s; unique=42; interleaved or non-monotonic	54 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10054/fmap/sub-10054_acq-bold_run-3_magnitude1.json; sub-10054/fmap/sub-10054_acq-bold_run-3_magnitude1.nii.gz; sub-10054/fmap/sub-10054_acq-bold_run-3_magnitude2.json; sub-10054/fmap/sub-10054_acq-bold_run-3_magnitude2.nii.gz; sub-10054/fmap/sub-10054_acq-bold_run-3_phasediff.json; sub-10054/fmap/sub-10054_acq-bold_run-3_phasediff.nii.gz	image entries include status: annex_pointer_unavailable
openneuro	mb1me1	sharedreward	1	1	1	1	0.03	1.7			20	EP	%CustomerSeq%\cmrr_mbep2d_bold	j-	Tra	descending slice-index timing; physical direction not verified from a NIfTI affine	n=27; range=0..1.6175 s; unique=27; descending	27 (SliceTiming; header unavailable)			86	62	86	2.7	2.97	1	HeadNeck_64	0	sub-10015/func/sub-10015_task-sharedreward_acq-mb1me1_bold.json; sub-10015/func/sub-10015_task-sharedreward_acq-mb1me1_bold.nii.gz; task-sharedreward_acq-mb1me1_bold.json	MultibandAccelerationFactor is absent; image entries include status: annex_pointer_unavailable; the acquisition label alone is not direct confirmation of factor 1
openneuro	mb1me1	sharedreward	2	2	1	1	0.03	3.39			20	EP	%CustomerSeq%\cmrr_mbep2d_bold	j-	Tra	descending slice-index timing; physical direction not verified from a NIfTI affine	n=51; range=0..3.305 s; unique=51; descending	51 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10024/func/sub-10024_task-sharedreward_acq-mb1me1_bold.json; sub-10024/func/sub-10024_task-sharedreward_acq-mb1me1_bold.nii.gz; sub-10054/func/sub-10054_task-sharedreward_acq-mb1me1_bold.json; sub-10054/func/sub-10054_task-sharedreward_acq-mb1me1_bold.nii.gz; task-sharedreward_acq-mb1me1_bold.json	MultibandAccelerationFactor is absent; image entries include status: annex_pointer_unavailable; the acquisition label alone is not direct confirmation of factor 1
openneuro	mb1me1	sharedreward	1	1	1	1	0.03	3.39			20	EP	%CustomerSeq%\cmrr_mbep2d_bold	j-	Tra>Cor(-2.8)	descending slice-index timing; physical direction not verified from a NIfTI affine	n=51; range=0..3.305 s; unique=51; descending	51 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10035/func/sub-10035_task-sharedreward_acq-mb1me1_bold.json; sub-10035/func/sub-10035_task-sharedreward_acq-mb1me1_bold.nii.gz; task-sharedreward_acq-mb1me1_bold.json	MultibandAccelerationFactor is absent; image entries include status: annex_pointer_unavailable; the acquisition label alone is not direct confirmation of factor 1
openneuro	mb1me1	sharedreward	2	2	1	1	0.03	3.39			20	EP	%CustomerSeq%\cmrr_mbep2d_bold	j-	Tra>Cor(-3.6)	descending slice-index timing; physical direction not verified from a NIfTI affine	n=51; range=0..3.3025 s; unique=51; descending	51 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10017/func/sub-10017_task-sharedreward_acq-mb1me1_bold.json; sub-10017/func/sub-10017_task-sharedreward_acq-mb1me1_bold.nii.gz; sub-10041/func/sub-10041_task-sharedreward_acq-mb1me1_bold.json; sub-10041/func/sub-10041_task-sharedreward_acq-mb1me1_bold.nii.gz; task-sharedreward_acq-mb1me1_bold.json	MultibandAccelerationFactor is absent; image entries include status: annex_pointer_unavailable; the acquisition label alone is not direct confirmation of factor 1
openneuro	mb1me1	sharedreward	1	1	1	1	0.03	3.39			20	EP	%CustomerSeq%\cmrr_mbep2d_bold	j-	Tra>Cor(-5.5)	descending slice-index timing; physical direction not verified from a NIfTI affine	n=51; range=0..3.305 s; unique=51; descending	51 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10043/func/sub-10043_task-sharedreward_acq-mb1me1_bold.json; sub-10043/func/sub-10043_task-sharedreward_acq-mb1me1_bold.nii.gz; task-sharedreward_acq-mb1me1_bold.json	MultibandAccelerationFactor is absent; image entries include status: annex_pointer_unavailable; the acquisition label alone is not direct confirmation of factor 1
openneuro	mb1me1	sharedreward	1	1	1	1	0.03	3.39			20	EP	%CustomerSeq%\cmrr_mbep2d_bold	j-	Tra>Cor(1.8)	descending slice-index timing; physical direction not verified from a NIfTI affine	n=51; range=0..3.3025 s; unique=51; descending	51 (SliceTiming; header unavailable)			80	80	80	2.7	2.97	1	HeadNeck_64	0	sub-10028/func/sub-10028_task-sharedreward_acq-mb1me1_bold.json; sub-10028/func/sub-10028_task-sharedreward_acq-mb1me1_bold.nii.gz; task-sharedreward_acq-mb1me1_bold.json	MultibandAccelerationFactor is absent; image entries include status: annex_pointer_unavailable; the acquisition label alone is not direct confirmation of factor 1
